		85164000	60 	33 
		85165000	75 	41 
		85166000	350 	87 
		85167100	25 	13 
		85167900	350 	108 
		94052000	670 	218 
	APARATOS TRANSMISORES Y RECEPTORES	85182200	200 	62 
		85185000	75 	23 
	ARTICULOS DE VESTUARIO	62021200	90 	49 
		62052000	871 	141 
		62063000	22 	3 
		62102000	100 	55 
		62171000	5,002 	644 
		62179000	3,430 	1,030 
	CALZADO	63090010	240 	132 
		64019990	10 	13 
	CAUCHO NATURAL (HULE)	40011000	23,016 	17,544 
		40012200	22,366 	21,378 
	CLAVOS Y TORNILLOS	73181500	4 	2 
	DETERGENTES Y JABONES	34022000	556 	1,479 
		34029020	202 	537 
	HERRAMIENTAS ARTICULOS DE CUCHILLERIA	82055190	200 	53 
		82111000	6 	3 
		82119100	6 	3 
	INSTRUMENTAL MEDICO Y OTROS	84433100	25 	14 
		91149000	9 	5 
		92029010	325 	117 
		92029090	20 	26 
		92079000	70 	38 
		92099200	6 	3 
	JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES	95030021	731 	124 
		95030039	40 	21 
		95030049	1,650 	489 
		95030090	20 	26 
		95061900	125 	68 
		95062900	150 	46 
		95063100	150 	57 
		95065900	10 	5 
		95066900	1,016 	128 
	LAMINA Y ALAMBRE	85442000	4 	2 
	LECHE Y OTROS PRODUCTOS LACTEOS	21069079	99,792 	4,158 
	MANUFACTURAS DE CAUCHO	40169500	20 	11 
	MANUFACTURAS DE CERAMICA	69091100	15 	8 
		69111000	60 	55 
		69120010	12 	7 
		69120090	10 	5 
	MANUFACTURAS DE MADERA	44140000	60 	33 
		44201000	58 	31 
		94039010	30 	15 
	MANUFACTURAS DE PAPEL Y CARTON	48169090	25 	14 
		48209000	365 	118 
		49019100	11,000 	1,141 
		49019900	3,300 	972 
		49029000	10 	20 
		49119100	30 	16 
	MANUFACTURAS DIVERSAS	42021900	16 	9 
		42022900	8,156 	1,216 
		68061000	1,515 	332 
		85392210	6 	3 
		96032900	9 	5 
		96081000	186 	26 
		96100000	16 	9 
	MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	84145900	15 	8 
		84223090	30,000 	307 
		84283900	50 	27 
		84672900	15 	8 
		84713000	10 	13 
		84714100	2,875 	25 
		84716000	300 	91 
		84719000	800 	214 
		84779000	3,186 	850 
		84821000	1,079 	20 
		84823000	800 	15 
		84824000	249 	5 
		84825000	2,660 	49 
		84828000	1,844 	34 
		85171100	35 	19 
		85271390	150 	46 
		85284929	5,400 	1,606 
		85287190	155 	27 
		85287290	900 	494 
		85309000	15 	8 
	MATERIALES PLASTICOS Y SUS MANUFACTURAS	39191090	381 	19 
		39219090	829 	2,205 
		39231000	2 	1 
		39233010	10 	5 
		39233099	5 	3 
		39241090	80 	42 
		39249090	25 	14 
		39264000	2,825 	838 
		39269099	6 	3 
	MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.	94032000	593 	326 
		94034000	135 	74 
		94035000	110 	60 
		94036000	6,690 	2,156 
		94037000	60 	32 
		94038900	5 	3 
		94042900	900 	371 
		94049000	248 	106 
	OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES	97011020	390 	133 
	OTRAS MANUFACTURAS DE METALES COMUNES	73239190	42 	23 
		73239390	45 	24 
		73239990	3,000 	880 
		83030000	150 	46 
	OTROS ACEITES ESENCIALES	33012990	6,500 	49 
	OTROS DERIVADOS DE PETROLEO	27101991	4,163 	76 
	PAPEL Y CARTON	48025539	5 	3 
	PINTURAS Y BARNICES	32041600	8,287 	53 
	PREPARADOS DE CARNE, PESCADO, CRUSTACEOS Y MOLUSCOS	21061000	5,499 	6,132 
	PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA	29341000	537,900 	3,241 
		29349900	54,018 	469 
	PRODUCTOS FARMACEUTICOS	30049091	10 	5 
	ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O	57019000	9 	5 
		57039000	590 	200 
		63021000	10 	13 
		63023100	108 	17 
		63023900	471 	258 
		63025100	31 	5 
		63025990	29 	16 
		63026000	32 	18 
	SEMILLA DE AJONJOLI	12074020	43,275 	25,460 
